"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2020","1,505.70","1,512.00","1,512.40","1,510.24","0.02K","0.01%"
"10/06/2020","1,505.50","1,514.00","1,514.00","1,510.24","0.02K","-0.01%"
"10/05/2020","1,505.70","1,512.00","1,514.65","1,511.24","0.02K","0.01%"
"10/02/2020","1,505.50","1,512.00","1,514.00","1,510.49","0.02K","-0.01%"
"10/01/2020","1,505.70","1,512.20","1,514.00","1,510.74","0.02K","0.01%"
"09/30/2020","1,505.50","1,512.20","1,514.00","1,512.00","0.01K","-0.01%"
"09/29/2020","1,505.70","1,512.20","1,514.00","1,511.02","0.02K","0.00%"
"09/28/2020","1,505.70","1,512.00","1,514.65","1,511.74","0.01K","0.05%"
"09/25/2020","1,504.98","1,512.00","1,515.65","1,511.24","0.34K","-0.05%"
"09/24/2020","1,505.70","1,512.20","1,514.00","1,512.00","0.03K","-0.28%"
"09/23/2020","1,509.97","1,512.00","1,518.14","1,511.24","0.04K","0.28%"
"09/22/2020","1,505.70","1,515.50","1,516.15","1,511.24","0.03K","0.01%"
"09/21/2020","1,505.50","1,512.20","1,514.65","1,511.24","0.59K","-0.01%"
"09/18/2020","1,505.70","1,512.00","1,517.50","1,511.24","0.02K","0.01%"
"09/17/2020","1,505.50","1,512.20","1,514.00","1,512.00","0.03K","0.10%"
"09/16/2020","1,503.99","1,513.15","1,514.65","1,510.74","0.04K","0.07%"
"09/15/2020","1,502.99","1,514.50","1,515.15","1,510.74","0.11K","-0.17%"
"09/14/2020","1,505.50","1,512.20","1,514.65","1,510.49","0.10K","-0.01%"
"09/11/2020","1,505.70","1,510.65","1,514.30","1,510.24","0.03K","0.25%"
"09/10/2020","1,501.99","1,512.00","1,514.30","1,510.24","0.05K","-0.13%"
"09/09/2020","1,503.99","1,514.00","1,514.15","1,510.49","0.13K","-0.11%"
"09/08/2020","1,505.70","1,512.20","1,513.50","1,510.74","0.06K","0.00%"
"09/07/2020","1,505.70","1,512.00","1,512.20","1,512.00","0.04K","0.01%"
"09/04/2020","1,505.50","1,512.00","1,514.00","1,512.00","0.03K","0.00%"
"09/03/2020","1,505.50","1,512.20","1,513.50","1,510.74","0.03K","-0.01%"
"09/02/2020","1,505.70","1,512.20","1,512.20","1,512.00","0.07K","0.01%"
"09/01/2020","1,505.50","1,512.20","1,512.20","1,512.00","0.01K","-0.01%"
"08/31/2020","1,505.70","1,512.00","1,512.20","1,512.00","0.02K","0.01%"
"08/28/2020","1,505.50","1,512.00","1,512.20","1,512.00","0.02K","-0.01%"
"08/27/2020","1,505.70","1,512.00","1,512.20","1,512.00","0.03K","0.01%"
"08/26/2020","1,505.50","1,512.00","1,512.20","1,512.00","0.01K","0.00%"
"08/25/2020","1,505.50","1,512.00","1,512.20","1,512.00","0.01K","-0.01%"
"08/24/2020","1,505.70","1,512.00","1,512.20","1,512.00","0.04K","0.01%"
"08/21/2020","1,505.50","1,512.20","1,512.20","1,512.00","0.02K","-0.01%"
